"Titre de tracé : expe_inrae4"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 20254784, SEN S/N: 20254784)","Intensité, Lux (LGR S/N: 20254784, SEN S/N: 20254784)","Coupleur attaché (LGR S/N: 20254784)","Coupleur détaché (LGR S/N: 20254784)","Hôte connecté (LGR S/N: 20254784)","Arrêté (LGR S/N: 20254784)","Fin de fichier (LGR S/N: 20254784)"
1,07/08/24 09:00:00 PM,23.196,0.0,,,,,
2,07/08/24 10:00:00 PM,23.196,0.0,,,,,
3,07/08/24 11:00:00 PM,23.100,0.0,,,,,
4,07/09/24 12:00:00 AM,23.100,0.0,,,,,
5,07/09/24 01:00:00 AM,23.100,0.0,,,,,
6,07/09/24 02:00:00 AM,23.004,0.0,,,,,
7,07/09/24 03:00:00 AM,23.004,0.0,,,,,
8,07/09/24 04:00:00 AM,23.004,0.0,,,,,
9,07/09/24 05:00:00 AM,23.004,0.0,,,,,
10,07/09/24 06:00:00 AM,23.004,0.0,,,,,
11,07/09/24 07:00:00 AM,22.908,0.0,,,,,
12,07/09/24 08:00:00 AM,22.908,0.0,,,,,
13,07/09/24 09:00:00 AM,22.908,0.0,,,,,
14,07/09/24 10:00:00 AM,23.196,0.0,,,,,
15,07/09/24 11:00:00 AM,23.292,10.8,,,,,
16,07/09/24 12:00:00 PM,23.388,10.8,,,,,
17,07/09/24 01:00:00 PM,23.388,0.0,,,,,
18,07/09/24 02:00:00 PM,23.196,10.8,,,,,
19,07/09/24 03:00:00 PM,23.581,0.0,,,,,
20,07/09/24 04:00:00 PM,23.773,10.8,,,,,
21,07/09/24 05:00:00 PM,23.869,0.0,,,,,
22,07/09/24 06:00:00 PM,23.869,0.0,,,,,
23,07/09/24 07:00:00 PM,23.677,0.0,,,,,
24,07/09/24 08:00:00 PM,23.581,0.0,,,,,
25,07/09/24 09:00:00 PM,23.581,0.0,,,,,
26,07/09/24 10:00:00 PM,23.581,0.0,,,,,
27,07/09/24 11:00:00 PM,23.581,0.0,,,,,
28,07/10/24 12:00:00 AM,23.581,0.0,,,,,
29,07/10/24 01:00:00 AM,23.484,0.0,,,,,
30,07/10/24 02:00:00 AM,23.484,0.0,,,,,
