n;espece;rhizotron;diametre moyen racine mm;longueur racine cm
1;Carex nigra;E7;0,7;34
2;Carex nigra;E7;0,6;37
3;Carex nigra;E7;0,6;30
4;Carex nigra;E7;0,5;32
5;Carex nigra;E3;0,5;34
6;Carex nigra;E3;0,3;33
7;Carex nigra;E3;0,5;32
8;Carex nigra;E3;0,6;29
9;Carex nigra;E1;0,5;39
10;Carex nigra;E1;0,7;39
11;Carex nigra;E1;0,7;39
12;Carex nigra;E1;0,6;41
13;Eriophorum angustifolium;E4;0,5;42
14;Eriophorum angustifolium;E4;0,6;41
15;Eriophorum angustifolium;E4;0,6;54
1;Eriophorum angustifolium;E6;0,6;59
2;Eriophorum angustifolium;E6;0,5;47
3;Eriophorum angustifolium;E6;0,4;34
4;Eriophorum angustifolium;E5;0,8;51
5;Eriophorum angustifolium;E5;0,8;40
6;Eriophorum angustifolium;E5;0,6;48
7;Eriophorum angustifolium;E8;0,6;44
8;Eriophorum angustifolium;E8;0,7;59
9;Eriophorum angustifolium;E8;0,6;44
10;Eriophorum angustifolium;E1;0,5;49
11;Eriophorum angustifolium;E1;0,7;41
12;Eriophorum angustifolium;E1;0,4;37
13;Eriophorum angustifolium;E1;0,6;32
1;Phragmites australis;P8;1;108
2;Phragmites australis;P8;1,2;37
3;Phragmites australis;P7;2;30
4;Phragmites australis;P7;1,3;73
5;Phragmites australis;P2;1,6;72
6;Phragmites australis;P6;1,5;81
7;Phragmites australis;P1;1,7;95
8;Phragmites australis;P1;1,2;64
9;Phragmites australis;P3;1,7;45
10;Phragmites australis;P3;1,4;63
11;Phragmites australis;P3;1,4;50
