n;espece;rhizotron;diametre moyen rhizome mm;longueur rhizome cm
1;Carex nigra;E7;1,3;18
2;Carex nigra;E7;1,2;14
3;Carex nigra;E7;1,6;15
4;Carex nigra;E7;1,3;9
5;Carex nigra;E3;1,4;20
6;Carex nigra;E3;1,5;15
7;Carex nigra;E3;1,3;8
8;Carex nigra;E3;1,2;8
9;Carex nigra;E1;1,5;14
10;Carex nigra;E1;1,7;19
11;Carex nigra;E1;2;12
12;Carex nigra;E1;2,1;11
13;Eriophorum angustifolium;E4;1,3;9
14;Eriophorum angustifolium;E4;2,9;12
15;Eriophorum angustifolium;E4;1,2;9
1;Eriophorum angustifolium;E6;1,6;33
2;Eriophorum angustifolium;E6;2,2;27
3;Eriophorum angustifolium;E5;1,8;18
4;Eriophorum angustifolium;E5;1,5;16
5;Eriophorum angustifolium;E8;2,5;20
6;Eriophorum angustifolium;E8;2,3;19
7;Eriophorum angustifolium;E8;2,2;16
8;Eriophorum angustifolium;E1;1,5;37
9;Eriophorum angustifolium;E1;1,8;17
10;Eriophorum angustifolium;E1;2;15
11;Eriophorum angustifolium;E1;2,1;9
1;Phragmites australis;P8;3,7;27
2;Phragmites australis;P8;2,4;23
3;Phragmites australis;P7;3,8;37
4;Phragmites australis;P7;3,8;36
5;Phragmites australis;P2;5;59
6;Phragmites australis;P2;3,7;65
7;Phragmites australis;P1;3,5;59
8;Phragmites australis;P1;4;52
9;Phragmites australis;P3;5,1;79
10;Phragmites australis;P3;3,5;74
11;Phragmites australis;P3;3,7;54
12;Phragmites australis;P3;4;45
13;Phragmites australis;P4;3,6;65
14;Phragmites australis;P4;4,2;74
