"Titre de tracé : expe_inrae5"
"#","Date Heure, GMT+02:00","Temp., °C (LGR S/N: 20254790, SEN S/N: 20254790)","Intensité, Lux (LGR S/N: 20254790, SEN S/N: 20254790)","Pile défectueuse (LGR S/N: 20254790)","Hôte connecté (LGR S/N: 20254790)","Arrêté (LGR S/N: 20254790)","Fin de fichier (LGR S/N: 20254790)"
1,07/08/24 09:00:00 PM,23.100,0.0,,,,
2,07/08/24 10:00:00 PM,23.100,0.0,,,,
3,07/08/24 11:00:00 PM,23.100,0.0,,,,
4,07/09/24 12:00:00 AM,23.004,0.0,,,,
5,07/09/24 01:00:00 AM,23.004,0.0,,,,
6,07/09/24 02:00:00 AM,23.004,0.0,,,,
7,07/09/24 03:00:00 AM,23.004,0.0,,,,
8,07/09/24 04:00:00 AM,22.908,0.0,,,,
9,07/09/24 05:00:00 AM,22.908,0.0,,,,
10,07/09/24 06:00:00 AM,22.908,0.0,,,,
11,07/09/24 07:00:00 AM,22.908,0.0,,,,
12,07/09/24 08:00:00 AM,22.908,0.0,,,,
13,07/09/24 09:00:00 AM,22.908,0.0,,,,
14,07/09/24 10:00:00 AM,23.100,0.0,,,,
15,07/09/24 11:00:00 AM,23.196,0.0,,,,
16,07/09/24 12:00:00 PM,23.292,0.0,,,,
17,07/09/24 01:00:00 PM,23.292,0.0,,,,
18,07/09/24 02:00:00 PM,23.196,0.0,,,,
19,07/09/24 03:00:00 PM,23.388,0.0,,,,
20,07/09/24 04:00:00 PM,23.677,0.0,,,,
21,07/09/24 05:00:00 PM,23.773,0.0,,,,
22,07/09/24 06:00:00 PM,23.773,0.0,,,,
23,07/09/24 07:00:00 PM,23.581,0.0,,,,
24,07/09/24 08:00:00 PM,23.484,0.0,,,,
25,07/09/24 09:00:00 PM,23.484,0.0,,,,
26,07/09/24 10:00:00 PM,23.484,0.0,,,,
27,07/09/24 11:00:00 PM,23.484,0.0,,,,
28,07/10/24 12:00:00 AM,23.484,0.0,,,,
29,07/10/24 01:00:00 AM,23.388,0.0,,,,
30,07/10/24 02:00:00 AM,23.388,0.0,,,,
31,07/10/24 03:00:00 AM,23.388,0.0,,,,
32,07/10/24 04:00:00 AM,23.388,0.0,,,,
33,07/10/24 05:00:00 AM,23.388,0.0,,,,
34,07/10/24 06:00:00 AM,23.292,0.0,,,,
35,07/10/24 07:00:00 AM,23.292,0.0,,,,
36,07/10/24 08:00:00 AM,23.292,0.0,,,,
37,07/10/24 09:00:00 AM,23.292,0.0,,,,
38,07/10/24 10:00:00 AM,23.292,0.0,,,,
39,07/10/24 11:00:00 AM,24.641,53.8,,,,
40,07/10/24 12:00:00 PM,46.850,1550.0,,,,
41,07/10/24 01:00:00 PM,46.979,2755.6,,,,
42,07/10/24 02:00:00 PM,60.502,165334.4,,,,
43,07/10/24 03:00:00 PM,65.894,198401.3,,,,
44,07/10/24 04:00:00 PM,54.206,198401.3,,,,
45,07/10/24 05:00:00 PM,44.089,3616.7,,,,
